case_id,Resource,role,Activity,FixedCost,ResourceCost,__start_time,end_time,__AssignedTime
0,DIO,DIO,A,0.0,0.0,2012-03-21T06:00:00.000,2012-03-21 06:05:00+00:00,2012-03-21T06:00:00.000
0,DIO,DIO,B,0.0,0.0,2012-03-21T06:05:00.000,2012-03-21 06:10:00+00:00,2012-03-21T06:05:00.000
0,DIO,DIO,F,0.0,0.0,2012-03-21T06:10:00.000,2012-03-21 06:15:00+00:00,2012-03-21T06:10:00.000
0,Pucci,Pucci,G,0.0,0.0,2012-03-21T06:15:00.000,2012-03-21 06:20:00+00:00,2012-03-21T06:15:00.000
0,Pucci,Pucci,H,0.0,0.0,2012-03-21T06:20:00.000,2012-03-21 06:25:00+00:00,2012-03-21T06:20:00.000
0,Giorno,Giorno,I,0.0,0.0,2012-03-21T06:25:00.000,2012-03-21 06:30:00+00:00,2012-03-21T06:25:00.000
0,Giorno,Giorno,J,0.0,0.0,2012-03-21T06:30:00.000,2012-03-21 06:35:00+00:00,2012-03-21T06:30:00.000
0,Jolyne,Jolyne,K,0.0,0.0,2012-03-21T06:35:00.000,2012-03-21 06:40:00+00:00,2012-03-21T06:35:00.000
0,Giorno,Giorno,N,0.0,0.0,2012-03-21T06:40:00.000,2012-03-21 06:45:00+00:00,2012-03-21T06:40:00.000
0,Jolyne,Jolyne,P,0.0,0.0,2012-03-21T06:45:00.000,2012-03-21 06:50:00+00:00,2012-03-21T06:45:00.000
1,DIO,DIO,A,0.0,0.0,2012-03-21T06:15:00.000,2012-03-21 06:20:00+00:00,2012-03-21T06:15:00.000
1,DIO,DIO,B,0.0,0.0,2012-03-21T06:20:00.000,2012-03-21 06:25:00+00:00,2012-03-21T06:20:00.000
1,DIO,DIO,C,0.0,0.0,2012-03-21T06:25:00.000,2012-03-21 06:30:00+00:00,2012-03-21T06:25:00.000
1,Pucci,Pucci,D,0.0,0.0,2012-03-21T06:30:00.000,2012-03-21 06:35:00+00:00,2012-03-21T06:30:00.000
2,DIO,DIO,A,0.0,0.0,2012-03-21T06:30:00.000,2012-03-21 06:35:00+00:00,2012-03-21T06:30:00.000
2,DIO,DIO,B,0.0,0.0,2012-03-21T06:35:00.000,2012-03-21 06:40:00+00:00,2012-03-21T06:35:00.000
2,DIO,DIO,C,0.0,0.0,2012-03-21T06:40:00.000,2012-03-21 06:45:00+00:00,2012-03-21T06:40:00.000
